CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
9669;0;Via Ennio Bonifazi, 12;CICHI LUCIANO;439120585;167;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;30/09/2014;Ordinaria;1;41.9051;12.41687;1
9670;0;Via della Giuliana, 24;RAGONI FRANCESCO;269020582;195;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.9131;12.45426;1
9671;0;Via F. Borromeo, 13/15;CRESCIMANNO CLOTILDE;483400586;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.92368;12.57115;1
9672;0;Via Aurelia, 560;MERUCCI ANGELINA;1536800582;165;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.97259;12.07801;1
9673;0;Largo Vigna Stelluti, 34/35/36;COEN TULLIA;5383951000;191;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2007;Ordinaria;1;41.9478;12.46506;1
9674;0;Viale Giulio Cesare, 209/211;GIULIO CESARE;7948261008;192;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.91117;12.46496;1
9675;0;Via Trionfale, 11264/11270;COCCI MARIA TERESA EREDI;11074971000;135;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/12/2010;31/10/2012;Ordinaria;1;41.95999;12.41137;1
9676;0;Via Candia, 28;DE LONGIS  FAUSTO;9136700581;192;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.90758;12.45077;1
9677;0;Viale Cola di Rienzo, 124;CENTRALE DOTT. GIORGIO DI GIOACCHINO SAS;11702831006;192;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2012;-;Ordinaria;1;41.92368;12.57115;1
9678;0;Via Don Primo Mazzolari, 220;LIBERTA' DR.SSA ROSANNA SICILIANO;8555331001;132;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2007;31/08/2010;Ordinaria;1;41.90904;12.47074;1
9679;0;Largo Donaggio, 9/10;CONFORTI FERNANDA;7857080589;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2010;Ordinaria;1;41.92368;12.57115;1
9680;0;Piazza Capecelatro, 7;SCIORILLI CLELIA;1111570584;168;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;28/02/2011;Ordinaria;1;41.92368;12.57115;1
9681;0;Via S. Bernadette, 55;ROMOLO ROMANO;-;167;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2010;Ordinaria;1;41.92368;12.57115;1
